title,rating,director,rank,quote
谍影重重3,8.9,导演: 保罗·格林格拉斯 Paul Greengrass,172,像吃了苏打饼一样干脆的电影。
三块广告牌,8.7,导演: 马丁·麦克唐纳 Martin McDonagh,173,怼天怼地，你走后，她与世界为敌。
电锯惊魂,8.7,导演: 詹姆斯·温 James Wan,174,真相就在眼前。
无间道2,8.8,导演: 刘伟强 Andrew Lau / 麦兆辉 Alan Mak,175,
达拉斯买家俱乐部,8.8,导演: 让-马克·瓦雷 Jean-Marc Vallée,176,Jared Leto的腿比女人还美！
疯狂原始人,8.7,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,177,老少皆宜，这就是好莱坞动画的魅力。
绿里奇迹,8.9,导演: 弗兰克·德拉邦特 Frank Darabont,178,
爱在午夜降临前,8.9,导演: 理查德·林克莱特 Richard Linklater,179,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
疯狂的石头,8.6,导演: 宁浩 Hao Ning,180,中国版《两杆大烟枪》。
雨中曲,9.1,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,181,
2001太空漫游,8.9,导演: 斯坦利·库布里克 Stanley Kubrick,182,
海街日记,8.8,导演: 是枝裕和 Hirokazu Koreeda,183,是枝裕和的家庭习作。
风之谷,8.9,导演: 宫崎骏 Hayao Miyazaki,184,
上帝之城,9.0,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund   ...,185,
心迷宫,8.7,导演: 忻钰坤 Yukun Xin,186,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
英雄本色,8.6,导演: 吴宇森 John Woo,187,
记忆碎片,8.7,导演: 克里斯托弗·诺兰 Christopher Nolan,188,
纵横四海,8.8,导演: 吴宇森 John Woo,189,
无敌破坏王,8.7,导演: 瑞奇·莫尔 Rich Moore,190,迪士尼和皮克斯拿错剧本的产物。
卢旺达饭店,8.9,导演: 特瑞·乔治 Terry George,191,当这个世界闭上双眼，他却敞开了怀抱。
恐怖游轮,8.5,导演: 克里斯托弗·史密斯 Christopher Smith,192,不要企图在重复中寻找已经失去的爱。
牯岭街少年杀人事件,8.9,导演: 杨德昌 Edward Yang,193,
东京教父,9.0,导演: 今敏 Satoshi Kon,194,
小偷家族,8.7,导演: 是枝裕和 Hirokazu Koreeda,195,我们组成了家。
魔女宅急便,8.7,导演: 宫崎骏 Hayao Miyazaki,196,
冰川时代,8.7,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,197,
芙蓉镇,9.3,导演: 谢晋 Jin Xie,198,
忠犬八公物语,9.2,导演: 神山征二郎 Seijirô Kôyama,199,
岁月神偷,8.7,导演: 罗启锐 Alex Law,200,岁月流逝，来日可追。
遗愿清单,8.7,导演: 罗伯·莱纳 Rob Reiner,201,用剩余不多的时间，去燃烧整个生命。
荒蛮故事,8.7,导演: 达米安·斯兹弗隆 Damián Szifron,202,始于荒诞，止于更荒诞。
大佛普拉斯,8.7,导演: 黄信尧 Hsin-yao Huang,203,人们可以登上月球，却永远无法探索人们内心的宇宙。
源代码,8.6,导演: 邓肯·琼斯 Duncan Jones,204,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
花束般的恋爱,8.6,导演: 土井裕泰 Nobuhiro Doi,205,
白日梦想家,8.6,导演: 本·斯蒂勒 Ben Stiller,206,
爱乐之城,8.4,导演: 达米恩·查泽雷 Damien Chazelle,207,
疯狂的麦克斯4：狂暴之路,8.7,导演: 乔治·米勒 George Miller,208,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
可可西里,8.9,导演: 陆川 Chuan Lu,209,坚硬的信仰。
你看起来好像很好吃,8.9,导演: 藤森雅也 Masaya Fujimori,210,感情不分食草或者食肉。
贫民窟的百万富翁,8.6,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,211,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
波西米亚狂想曲,8.6,导演: 布莱恩·辛格 Bryan Singer,212,
城市之光,9.3,导演: 查理·卓别林 Charles Chaplin,213,
爆裂鼓手,8.6,导演: 达米恩·查泽雷 Damien Chazelle,214,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
青蛇,8.6,导演: 徐克 Hark Tsui,215,
东邪西毒,8.6,导演: 王家卫 Kar Wai Wong,216,
哈利·波特与死亡圣器(上),8.6,导演: 大卫·叶茨 David Yates,217,最忠于原著的一部。
无耻混蛋,8.7,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,218,昆汀同学越来越变态了，比北野武还杜琪峰。
终结者2：审判日,8.8,导演: 詹姆斯·卡梅隆 James Cameron,219,
大红灯笼高高挂,8.8,导演: 张艺谋 Yimou Zhang,220,
黑天鹅,8.6,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,221,黑暗之美。
新龙门客栈,8.7,导演: 李惠民 Raymond Lee,222,
初恋这件小事,8.5,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,223,黑小鸭速效美白记。
千钧一发,8.8,导演: 安德鲁·尼科尔 Andrew Niccol,224,
人工智能,8.7,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,225,
崖上的波妞,8.6,导演: 宫崎骏 Hayao Miyazaki,226,
雨人,8.7,导演: 巴瑞·莱文森 Barry Levinson,227,
虎口脱险,8.9,导演: 杰拉尔·乌里 Gérard Oury,228,
哈利·波特与凤凰社,8.6,导演: 大卫·叶茨 David Yates,229,
彗星来的那一夜,8.6,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,230,小成本大魅力。
罗生门,8.8,导演: 黑泽明 Akira Kurosawa,231,
海边的曼彻斯特,8.6,导演: 肯尼斯·罗纳根 Kenneth Lonergan,232,我们都有权利不与自己的过去和解。
恋恋笔记本,8.5,导演: 尼克·卡索维茨 Nick Cassavetes,233,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
火星救援,8.5,导演: 雷德利·斯科特 Ridley Scott,234,
真爱至上,8.5,导演: 理查德·柯蒂斯 Richard Curtis,235,
黑客帝国2：重装上阵,8.7,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,236,
冰雪奇缘,8.5,导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,237,
步履不停,8.8,导演: 是枝裕和 Hirokazu Koreeda,238,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
奇迹男孩,8.6,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,239,世界不完美，爱会有奇迹。
